Rank,Top Year Ids,"May, 2014","June, 2014","July, 2014","August, 2014",2014 Week: 25,2014 Week: 26,2014 Week: 27,2014 Week: 28,2014 Week: 29,2014 Week: 30,2014 Week: 31
44,1021,406,471,60,413,100,10,694,476,554,210
45,307,548,273,76,129,202,48,240,656,198,308
46,567,790,718,236,133,74,299,377,349,14,327
47,327,71,752,425,768,766,209,397,552,218,106
48,40,102,198,725,154,523,116,721,166,73,804
49,1044,42,597,328,215,516,373,262,511,283,391
50,672,601,165,645,364,126,620,548,583,357,472
51,498,783,356,2,793,391,613,21,331,4,64
52,666,208,113,505,424,189,274,107,750,691,274
53,734,89,389,510,85,88,590,514,113,637,54
54,787,56,207,289,55,353,35,534,631,699,30
55,949,2,588,683,772,123,461,618,161,605,739
56,675,20,170,139,783,778,144,142,21,634,769
57,424,145,176,8,210,651,768,97,120,8,17
58,78,318,687,40,7,764,770,39,134,5,658
59,326,201,153,102,778,319,496,754,18,566,222
60,232,107,31,592,500,11,794,631,86,394,25
61,303,220,294,171,146,405,727,129,309,468,88
62,432,62,180,520,101,795,395,315,238,598,490
63,117,787,8,51,10,332,101,16,185,651,12
64,365,29,766,46,139,400,368,41,345,99,407
65,254,155,39,41,205,137,570,15,35,76,293
66,586,338,499,190,619,690,513,247,220,365,158
67,724,99,331,212,579,125,119,380,557,171,168
68,816,79,46,619,21,59,143,732,230,777,145
69,214,465,119,44,291,328,16,511,106,368,144
70,114,595,67,216,624,696,622,213,46,371,609
71,121,401,55,133,512,38,58,362,224,243,614
72,101,539,137,291,162,39,140,739,140,766,193
73,986,65,29,682,515,798,160,406,418,516,704
74,995,441,304,233,67,290,369,287,188,619,266
75,86,19,420,128,701,142,29,788,47,746,105
76,1038,205,390,138,588,642,13,589,444,385,476
77,897,141,431,231,122,424,476,424,37,682,440
78,163,505,108,13,622,28,80,706,60,313,8
79,1002,233,238,199,732,655,282,102,679,176,683
80,233,265,9,598,556,65,226,683,369,360,215
81,173,66,276,364,689,26,527,62,501,744,686
82,93,694,68,62,38,185,374,182,489,189,7
83,139,276,144,80,202,272,149,289,95,405,76
84,6,274,151,176,108,488,93,641,189,174,365
85,760,551,75,219,574,80,169,381,300,157,670
86,800,203,306,54,60,274,246,197,45,180,129
87,759,229,209,691,493,747,214,707,111,660,368
88,769,422,267,48,165,737,623,12,71,562,65
89,384,188,279,118,186,213,188,205,474,203,188
90,332,12,581,398,89,163,682,248,335,484,166
91,60,38,181,26,671,98,24,746,256,9,610
92,161,151,105,241,115,472,320,208,323,133,221
93,268,82,126,392,180,510,569,426,193,207,577
94,706,74,478,609,577,77,534,442,314,614,87
95,206,417,405,93,785,559,201,50,723,226,560
96,906,745,47,16,654,453,59,108,23,36,747
97,517,176,5,737,704,168,94,778,34,734,509
98,430,174,404,84,491,786,95,344,257,124,232
99,317,212,141,322,77,192,586,659,128,110,621
