Rank,Top Stocks,Profit %,2014 Week: 30 rank,Profit %,2014 Week: 29 rank,Profit %,2014 Week: 28 rank,Profit %,2014 Week: 27 rank,Profit %,2014 Week: 26 rank,Profit %,2014 Week: 25 rank,Profit %,"August, 2014 rank",Profit %,"July, 2014 rank",Profit %,"June, 2014 rank",Profit %,"May, 2014 rank",Profit %,Year: 2014 rank,Profit %
60,UFLEX,6.52962,513,-3.16036,376,-1.67046,222,8.02521,386,-8.62534,269,5.65573,372,2.22129,57,6.91747,389,-2.80373,184,21.5094,291,20.2907,221,63.0475
61,SURYALAXMI,6.38298,723,-7.2549,693,-7.21649,15,22.6916,11,6.32911,713,-2.14286,49,13.6154,44,8.34236,18,38.2857,37,43.8384,443,13.4259,87,111.416
62,GSFC,6.10583,338,-1.26498,471,-3.00511,727,-1.20865,153,-3.56495,509,1.47966,217,5.10335,152,2.89473,422,-3.94737,547,6.64894,134,32.8584,332,44.5471
63,PATELENG,5.98121,738,-7.68519,721,-7.97414,583,1.766,414,-9.36508,701,-1.84242,411,1.63217,110,4.22946,746,-19.4961,92,30.8173,104,36.5906,130,93.3273
64,RALLIS,5.84893,414,-2.09302,309,-0.618985,428,4.27268,284,-6.38345,560,0.676895,197,5.80164,120,3.85688,429,-4.22908,197,20.5293,659,0.813449,507,24.8603
65,BAJAJCORP,5.75492,359,-1.54705,196,1.55702,723,-1.08366,330,-7.51634,450,2.69588,748,-4.90315,80,5.52401,355,-1.6453,644,2.82895,570,6.6776,623,10.3677
66,WONDERLA,5.72738,413,-2.07863,596,-4.96868,349,5.63348,475,-10.5198,38,18.9445,629,-1.57947,62,6.33641,266,1.58177,619,4.17378,186,27.4687,333,44.2188
67,ARVINDREM,5.70033,340,-1.2945,728,-8.28313,796,-10.6326,361,-8.11809,279,5.50458,725,-3.67089,53,7.09571,755,-20.288,717,-1.15533,782,-12.7002,779,-40.4587
68,RJL,5.59862,238,-0.0856217,635,-5.89642,381,5.07308,597,-13.7324,656,-0.86581,672,-2.51749,97,4.69684,708,-15.2857,240,17.7966,645,1.63793,670,3.63482
69,ASTEC,5.56451,56,5.29914,48,8.83721,432,4.22932,324,-7.32984,87,13.278,97,9.66587,32,9.63148,42,24.6521,445,10.4238,332,18.1582,174,74.5333
70,KIL,5.47368,788,-12.6734,410,-2.22618,673,0.179216,27,3.52381,2,50.5935,17,21.1111,111,4.158,17,38.4286,63,35.4902,571,6.66666,97,104.49
71,M&M,5.34276,508,-3.12294,181,1.90235,585,1.76246,269,-6.09324,230,6.81227,495,0.347977,125,3.71635,196,4.49131,774,-7.10932,358,16.6667,459,29.6783
72,CHENNPETRO,5.32544,272,-0.533488,629,-5.72859,415,4.50292,524,-11.8462,390,3.47594,83,10.5882,59,6.71463,662,-12.8866,570,5.7724,424,13.9623,497,25.884
73,JVLAGRO,5.23077,357,-1.51515,750,-9.56284,795,-9.66921,2,16.0606,544,0.898201,745,-4.73372,117,3.95137,378,-2.35294,343,13.7584,165,29.5964,298,50.6608
74,SAREGAMA,5.21173,473,-2.69434,21,13.8145,639,0.917431,194,-4.63964,155,8.87255,757,-5.42222,196,1.84685,181,5.11628,46,40.0257,388,15.7895,404,36.2048
75,JUSTDIAL,5.20468,33,7.35706,130,3.58235,575,1.93898,104,-1.60505,409,3.24324,244,4.63925,47,8.13572,85,13.9412,625,3.71434,320,18.7653,514,24.2446
76,MAYURUNIQ,5.10563,664,-5.58242,326,-0.912588,65,14.0439,109,-1.78957,610,-0.0127552,399,1.8078,115,3.97074,84,13.9587,488,8.84058,269,21.8423,446,30.8445
77,JKCEMENT,5.07102,102,2.78277,589,-4.78908,464,3.67417,197,-4.725,452,2.68657,729,-3.96725,38,9.23575,302,0.12837,375,12.9635,49,46.2736,81,116.731
78,SURANAVEL,5.0,82,3.6336,230,0.775194,73,13.4513,1,20.2447,29,21.2587,780,-7.72358,60,6.52174,1,83.4667,13,61.7647,176,28.3237,6,286.842
79,TATACHEM,4.9668,136,1.65446,232,0.768891,328,6.12086,371,-8.32623,196,7.67228,563,-0.562568,74,5.73008,305,0.0864855,382,12.7377,592,5.43686,444,31.3223
80,AVTNPL,4.96454,191,0.714284,762,-10.2732,139,10.0,733,-17.5052,139,9.55795,39,15.4179,63,6.2201,289,0.606061,138,25.972,537,8.45772,58,134.921
81,USHAMART,4.8951,20,11.7188,352,-1.25628,286,6.75676,604,-13.8462,135,9.82962,776,-7.1605,35,9.62241,113,10.0391,718,-1.29032,583,5.73771,304,49.0066
82,TITAN,4.89264,320,-1.12003,212,1.20353,641,0.902144,355,-7.94093,550,0.846979,232,4.82339,255,0.573533,400,-3.35789,311,14.9625,293,20.155,306,48.6739
83,MUNJALAU,4.70199,409,-2.06185,299,-0.444443,258,7.37878,379,-8.46154,488,1.87945,391,1.94805,82,5.4,381,-2.46368,232,18.5075,195,26.6797,133,92.8049
84,KPRMILL,4.6383,782,-11.5891,637,-5.91418,374,5.19608,148,-3.5,195,7.68001,644,-1.94,61,6.45021,427,-4.12308,18,56.9801,397,15.2963,260,55.4362
85,HEXAWARE,4.49317,525,-3.31704,649,-6.11111,599,1.56667,138,-3.24134,700,-1.83544,94,9.92286,146,3.08511,613,-10.5975,450,10.0104,743,-6.11111,628,10.1136
86,MANGLMCEM,4.46429,169,1.09303,210,1.24384,285,6.77161,343,-7.69231,435,2.86046,318,3.17191,69,6.11628,253,2.12164,201,20.1915,50,46.2,90,109.697
87,ACC,4.32247,561,-3.74037,334,-1.06493,503,3.17387,103,-1.60233,501,1.60714,498,0.319259,118,3.94585,453,-5.10537,484,9.01907,622,3.15164,458,29.6982
88,OFSS,4.31212,68,4.48418,223,0.902796,451,3.89541,177,-4.1731,369,3.77886,295,3.58584,77,5.59203,167,5.83521,423,11.3626,752,-6.811,665,4.38962
89,BALAJITELE,4.21909,693,-6.46048,89,5.43478,240,7.74142,607,-13.8621,193,7.68657,305,3.40032,157,2.77372,383,-2.60563,87,31.9925,470,12.1775,267,54.386
90,ADFFOODS,4.20475,499,-2.99296,709,-7.66129,765,-3.08943,531,-12.0741,125,10.1639,536,-0.0832627,127,3.63636,567,-8.93443,404,11.9555,405,14.9554,642,8.57143
91,ATLANTA,4.11765,591,-4.09968,716,-7.83582,94,12.352,580,-13.1868,111,11.1384,353,2.54237,184,2.05931,413,-3.70371,134,26.2,375,16.0976,287,51.8382
92,SONATSOFTW,4.02497,594,-4.12783,584,-4.6798,97,12.2053,195,-4.6735,665,-1.05787,135,7.83784,215,1.28378,561,-8.79905,79,32.7244,159,30.1242,155,81.0386
93,COMPUAGE,4.0207,555,-3.65313,225,0.850273,718,-0.96043,50,1.16732,200,7.54085,558,-0.41841,599,-4.7046,91,13.2754,403,11.9702,415,14.5213,88,110.726
